source	library	present	size	sha256	build_id	soname	needed
built	libLiteRt.so	true	5421464	215ecfebc89f25adae32de7b0189e81264a5e1317160ff327dfb127702c801c0	8e2c846a217663487c7163a3c596688c	libLiteRt.so	libdl.so,libGLESv3.so,libEGL.so,libm.so,liblog.so,libc.so
built	libLiteRtRuntimeCApi.so	false	-	-	-	-	-
built	libLiteRtDispatch_Qualcomm.so	true	707568	ec12f96959b543782d906afc5cc2caa888dc3b29ea2403ff175088d88acdf093	e249453cf79d19c37af2b2019fea71f1	libLiteRtDispatch_Qualcomm.so	libandroid.so,liblog.so,libdl.so,libc.so,libm.so
built	liblitertlm_jni.so	true	55163888	b4380c0d8ad06ef4bf6951ee66485d94ddb7173c5bad2fc1ede393027e2c06ee	38b795aeb83183c12361f108dc2308bc		libGemmaModelConstraintProvider.so,libdl.so,liblog.so,libandroid.so,libGLESv3.so,libEGL.so,libm.so,libc.so
built	libLiteRtCompilerPlugin_Qualcomm.so	true	1018704	22ce807533dc659c3f482f6943f2a8b7311869e0a2c61ab8629d15bcaf3d496d	696d69bb8a9de9988bc5a24efec61a2e	libLiteRtCompilerPlugin_Qualcomm.so	libandroid.so,liblog.so,libdl.so,libc.so,libm.so
built	libQnnSystem.so	false	-	-	-	-	-
built	libQnnHtp.so	false	-	-	-	-	-
built	libQnnHtpPrepare.so	false	-	-	-	-	-
built	libQnnHtpV79Stub.so	false	-	-	-	-	-
built	libQnnHtpV79Skel.so	false	-	-	-	-	-
built	libllm_inference_engine_jni.so	false	-	-	-	-	-
gallery-sm8750	libLiteRt.so	false	-	-	-	-	-
gallery-sm8750	libLiteRtRuntimeCApi.so	false	-	-	-	-	-
gallery-sm8750	libLiteRtDispatch_Qualcomm.so	false	-	-	-	-	-
gallery-sm8750	liblitertlm_jni.so	false	-	-	-	-	-
gallery-sm8750	libLiteRtCompilerPlugin_Qualcomm.so	false	-	-	-	-	-
gallery-sm8750	libQnnSystem.so	false	-	-	-	-	-
gallery-sm8750	libQnnHtp.so	false	-	-	-	-	-
gallery-sm8750	libQnnHtpPrepare.so	false	-	-	-	-	-
gallery-sm8750	libQnnHtpV79Stub.so	false	-	-	-	-	-
gallery-sm8750	libQnnHtpV79Skel.so	false	-	-	-	-	-
