MemTotal:       15515316 kB
MemFree:         1441976 kB
MemAvailable:    7565016 kB
Buffers:            1832 kB
Cached:          5003172 kB
SwapCached:        10416 kB
Active:          4268648 kB
Inactive:        3175712 kB
Active(anon):    1928964 kB
Inactive(anon):   871920 kB
Active(file):    2339684 kB
Inactive(file):  2303792 kB
Unevictable:      328100 kB
Mlocked:          228952 kB
SwapTotal:      12582908 kB
SwapFree:        9379728 kB
Dirty:            310448 kB
Writeback:             0 kB
AnonPages:       2763992 kB
Mapped:          1731856 kB
Shmem:            145680 kB
KReclaimable:    1732284 kB
Slab:            1109564 kB
SReclaimable:     459188 kB
SUnreclaim:       650376 kB
KernelStack:      133072 kB
ShadowCallStack:       0 kB
PageTables:       259488 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    20340564 kB
Committed_AS:   453743856 kB
VmallocTotal:   257687552 kB
VmallocUsed:      311748 kB
VmallocChunk:          0 kB
Percpu:            24192 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         667648 kB
CmaFree:          362800 kB
