MemTotal:       15515316 kB
MemFree:         1505564 kB
MemAvailable:    9084476 kB
Buffers:            1832 kB
Cached:          5005532 kB
SwapCached:        10416 kB
Active:          4213016 kB
Inactive:        3182564 kB
Active(anon):    1873336 kB
Inactive(anon):   871728 kB
Active(file):    2339680 kB
Inactive(file):  2310836 kB
Unevictable:      327208 kB
Mlocked:          228952 kB
SwapTotal:      12582908 kB
SwapFree:        9379728 kB
Dirty:            316964 kB
Writeback:             0 kB
AnonPages:       2711412 kB
Mapped:          1631748 kB
Shmem:            141124 kB
KReclaimable:    3181116 kB
Slab:            1109532 kB
SReclaimable:     459188 kB
SUnreclaim:       650344 kB
KernelStack:      132576 kB
ShadowCallStack:       0 kB
PageTables:       255024 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    20340564 kB
Committed_AS:   450430884 kB
VmallocTotal:   257687552 kB
VmallocUsed:      311244 kB
VmallocChunk:          0 kB
Percpu:            24192 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         667648 kB
CmaFree:          379668 kB
