MemTotal:       15515316 kB
MemFree:         1453368 kB
MemAvailable:    7573912 kB
Buffers:            1832 kB
Cached:          5000140 kB
SwapCached:        10416 kB
Active:          4260712 kB
Inactive:        3172940 kB
Active(anon):    1921016 kB
Inactive(anon):   871920 kB
Active(file):    2339696 kB
Inactive(file):  2301020 kB
Unevictable:      327940 kB
Mlocked:          228952 kB
SwapTotal:      12582908 kB
SwapFree:        9379728 kB
Dirty:            308364 kB
Writeback:             4 kB
AnonPages:       2756212 kB
Mapped:          1731680 kB
Shmem:            145436 kB
KReclaimable:    1732548 kB
Slab:            1109556 kB
SReclaimable:     459188 kB
SUnreclaim:       650368 kB
KernelStack:      133536 kB
ShadowCallStack:       0 kB
PageTables:       259556 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    20340564 kB
Committed_AS:   453744956 kB
VmallocTotal:   257687552 kB
VmallocUsed:      312228 kB
VmallocChunk:          0 kB
Percpu:            24192 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         667648 kB
CmaFree:          370116 kB
