MemTotal:       15515316 kB
MemFree:         2916788 kB
MemAvailable:    9040156 kB
Buffers:            1712 kB
Cached:          3926900 kB
SwapCached:        10000 kB
Active:          3394504 kB
Inactive:        2935608 kB
Active(anon):    1924792 kB
Inactive(anon):   841648 kB
Active(file):    1469712 kB
Inactive(file):  2093960 kB
Unevictable:      336480 kB
Mlocked:          228952 kB
SwapTotal:      12582908 kB
SwapFree:        9380496 kB
Dirty:              9236 kB
Writeback:             0 kB
AnonPages:       2734328 kB
Mapped:          1606880 kB
Shmem:            149032 kB
KReclaimable:    2812416 kB
Slab:            1109968 kB
SReclaimable:     459340 kB
SUnreclaim:       650628 kB
KernelStack:      131856 kB
ShadowCallStack:       0 kB
PageTables:       253580 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    20340564 kB
Committed_AS:   448045252 kB
VmallocTotal:   257687552 kB
VmallocUsed:      310580 kB
VmallocChunk:          0 kB
Percpu:            24192 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         667648 kB
CmaFree:          406360 kB
