MemTotal:       15515316 kB
MemFree:         2872608 kB
MemAvailable:    7544948 kB
Buffers:            1712 kB
Cached:          3929640 kB
SwapCached:        10000 kB
Active:          3418688 kB
Inactive:        2934208 kB
Active(anon):    1949408 kB
Inactive(anon):   841648 kB
Active(file):    1469280 kB
Inactive(file):  2092560 kB
Unevictable:      337372 kB
Mlocked:          228952 kB
SwapTotal:      12582908 kB
SwapFree:        9380496 kB
Dirty:              8152 kB
Writeback:             0 kB
AnonPages:       2755908 kB
Mapped:          1702252 kB
Shmem:            153596 kB
KReclaimable:    1363220 kB
Slab:            1109984 kB
SReclaimable:     459340 kB
SUnreclaim:       650644 kB
KernelStack:      132192 kB
ShadowCallStack:       0 kB
PageTables:       257568 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    20340564 kB
Committed_AS:   451357336 kB
VmallocTotal:   257687552 kB
VmallocUsed:      310828 kB
VmallocChunk:          0 kB
Percpu:            24192 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         667648 kB
CmaFree:          413216 kB
