MemTotal:       15515316 kB
MemFree:          944100 kB
MemAvailable:    7491264 kB
Buffers:            4240 kB
Cached:          5419072 kB
SwapCached:        10504 kB
Active:          4243584 kB
Inactive:        3769388 kB
Active(anon):    2320360 kB
Inactive(anon):   625360 kB
Active(file):    1923224 kB
Inactive(file):  3144028 kB
Unevictable:      327152 kB
Mlocked:          228952 kB
SwapTotal:      12582908 kB
SwapFree:        9540524 kB
Dirty:            304592 kB
Writeback:             0 kB
AnonPages:       2913456 kB
Mapped:          1833164 kB
Shmem:            142968 kB
KReclaimable:    1732632 kB
Slab:            1110712 kB
SReclaimable:     459464 kB
SUnreclaim:       651248 kB
KernelStack:      133376 kB
ShadowCallStack:       0 kB
PageTables:       259312 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    20340564 kB
Committed_AS:   453692332 kB
VmallocTotal:   257687552 kB
VmallocUsed:      312100 kB
VmallocChunk:          0 kB
Percpu:            24192 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         667648 kB
CmaFree:          291392 kB
