MemTotal:       15515316 kB
MemFree:          908372 kB
MemAvailable:    7464856 kB
Buffers:            4420 kB
Cached:          5429724 kB
SwapCached:        10504 kB
Active:          4260184 kB
Inactive:        3779944 kB
Active(anon):    2336788 kB
Inactive(anon):   625360 kB
Active(file):    1923396 kB
Inactive(file):  3154584 kB
Unevictable:      327176 kB
Mlocked:          228952 kB
SwapTotal:      12582908 kB
SwapFree:        9540524 kB
Dirty:            314632 kB
Writeback:            28 kB
AnonPages:       2929900 kB
Mapped:          1833520 kB
Shmem:            143080 kB
KReclaimable:    1731224 kB
Slab:            1110708 kB
SReclaimable:     459464 kB
SUnreclaim:       651244 kB
KernelStack:      133184 kB
ShadowCallStack:       0 kB
PageTables:       259404 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    20340564 kB
Committed_AS:   454471576 kB
VmallocTotal:   257687552 kB
VmallocUsed:      311876 kB
VmallocChunk:          0 kB
Percpu:            24192 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         667648 kB
CmaFree:          273188 kB
