MemTotal:       15515316 kB
MemFree:         2055448 kB
MemAvailable:    8992540 kB
Buffers:            4796 kB
Cached:          5303312 kB
SwapCached:         9880 kB
Active:          5116480 kB
Inactive:        2740596 kB
Active(anon):    2345256 kB
Inactive(anon):   554276 kB
Active(file):    2771224 kB
Inactive(file):  2186320 kB
Unevictable:      326904 kB
Mlocked:          228952 kB
SwapTotal:      12582908 kB
SwapFree:        9558188 kB
Dirty:            298416 kB
Writeback:             0 kB
AnonPages:       2872628 kB
Mapped:          1741884 kB
Shmem:            139096 kB
KReclaimable:    2232268 kB
Slab:            1110572 kB
SReclaimable:     459408 kB
SUnreclaim:       651164 kB
KernelStack:      133456 kB
ShadowCallStack:       0 kB
PageTables:       253808 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    20340564 kB
Committed_AS:   448011512 kB
VmallocTotal:   257687552 kB
VmallocUsed:      312068 kB
VmallocChunk:          0 kB
Percpu:            24192 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         667648 kB
CmaFree:          340848 kB
