MemTotal:       15515316 kB
MemFree:         2109488 kB
MemAvailable:    7521308 kB
Buffers:            4744 kB
Cached:          5239088 kB
SwapCached:         9696 kB
Active:          5114836 kB
Inactive:        2688108 kB
Active(anon):    2338608 kB
Inactive(anon):   575960 kB
Active(file):    2776228 kB
Inactive(file):  2112148 kB
Unevictable:      327796 kB
Mlocked:          228952 kB
SwapTotal:      12582908 kB
SwapFree:        9553580 kB
Dirty:              3144 kB
Writeback:             0 kB
AnonPages:       2884316 kB
Mapped:          1830276 kB
Shmem:            143624 kB
KReclaimable:     776164 kB
Slab:            1109404 kB
SReclaimable:     459412 kB
SUnreclaim:       649992 kB
KernelStack:      132416 kB
ShadowCallStack:       0 kB
PageTables:       257744 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    20340564 kB
Committed_AS:   451306192 kB
VmallocTotal:   257687552 kB
VmallocUsed:      311036 kB
VmallocChunk:          0 kB
Percpu:            24192 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         667648 kB
CmaFree:          352664 kB
