MemTotal:       15515316 kB
MemFree:         2045440 kB
MemAvailable:    8984104 kB
Buffers:            4796 kB
Cached:          5305032 kB
SwapCached:         9880 kB
Active:          5123556 kB
Inactive:        2742288 kB
Active(anon):    2352320 kB
Inactive(anon):   554276 kB
Active(file):    2771236 kB
Inactive(file):  2188012 kB
Unevictable:      326904 kB
Mlocked:          228952 kB
SwapTotal:      12582908 kB
SwapFree:        9558700 kB
Dirty:            300132 kB
Writeback:             0 kB
AnonPages:       2879580 kB
Mapped:          1742048 kB
Shmem:            139120 kB
KReclaimable:    2232136 kB
Slab:            1110568 kB
SReclaimable:     459408 kB
SUnreclaim:       651160 kB
KernelStack:      133440 kB
ShadowCallStack:       0 kB
PageTables:       253756 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    20340564 kB
Committed_AS:   448011324 kB
VmallocTotal:   257687552 kB
VmallocUsed:      312068 kB
VmallocChunk:          0 kB
Percpu:            24192 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         667648 kB
CmaFree:          332504 kB
